"speaker","speaker_title","topic","talk_summary","speaker_bio","talk_url","speaker_twitter","speaker_ted_url","posted","tags"
"Colin Camerer","Behavioral economist","When you're making a deal, what's going on in your brain?","When two people are trying to make a deal — whether they’re competing or cooperating — what’s really going on inside their brains? Behavioral economist Colin Camerer shows research that reveals how badly we predict what others are thinking. Bonus: He presents an unexpected study that shows chimpanzees might just be better at it.","Colin Camerer is a leading behavioral economist who studies the psychological and neural bases of choice and strategic decision-making.","https://ted.com/talks/colin_camerer_neuroscience_game_theory_monkeys","not available","https://ted.com/speakers/colin_camerer","Mar 2013","Informative, Fascinating"
"Richard Turere","Inventor","My invention that made peace with lions","In the Maasai community where Richard Turere lives with his family, cattle are all-important. But lion attacks were growing more frequent. In this short, inspiring talk, the young inventor shares the solar-powered solution he designed to safely scare the lions away.","Young inventor Richard Turere invented ""lion lights,"" an elegant way to protect his family's cattle from lion attacks.","https://ted.com/talks/richard_turere_a_peace_treaty_with_the_lions","not available","https://ted.com/speakers/richard_turere","Mar 2013","Inspiring, Ingenious"
"Mark Shaw","Macroencapsulator","One very dry demo","Mark Shaw demos Ultra-Ever Dry, a liquid-repellent coating that acts as an astonishingly powerful shield against water and water-based materials. At the nano level, the spray covers a surface with an umbrella of air so that water bounces right off. Watch for an exciting two-minute kicker.","Mark Shaw develops technologies to contain hazardous waste, storm water and radioactives. ","https://ted.com/talks/mark_shaw_one_very_dry_demo","not available","https://ted.com/speakers/mark_shaw","Mar 2013","Fascinating, Ingenious"
"Jessica Green","Engineer and biodiversity scientist","We're covered in germs. Let's design for that.","Our bodies and homes are covered in microbes — some good for us, some bad for us. As we learn more about the germs and microbes who share our living spaces, TED Fellow Jessica Green asks: Can we design buildings that encourage happy, healthy microbial environments?","Jessica Green wants people to understand the important role microbes play in every facet of our lives: climate change, building ecosystems, human health, even roller derby — using nontraditional tools like art, animation and film to help people visualize the invisible world.","https://ted.com/talks/jessica_green_good_germs_make_healthy_buildings","not available","https://ted.com/speakers/jessica_green","Mar 2013","Informative, Fascinating"
"Eric Whitacre","Composer, conductor","Virtual Choir Live","Composer and conductor Eric Whitacre has inspired millions by bringing together ""virtual choirs,"" singers from many countries spliced together on video. Now, for the first time ever, he creates the experience in real time, as 32 singers from around the world Skype in to join an onstage choir (assembled from three local colleges) for an epic performance of Whitacre's ""Cloudburst,"" based on a poem by Octavio Paz.","After creating and conducting a worldwide virtual choir on YouTube, Eric Whitacre is now touring with an astonishing live choir.","https://ted.com/talks/eric_whitacre_virtual_choir_live","not available","https://ted.com/speakers/eric_whitacre","Mar 2013","Beautiful, Inspiring"
"Francis Collins","Geneticist, physician","We need better drugs — now","Today we know the molecular cause of 4,000 diseases, but treatments are available for only 250 of them. So what's taking so long? Geneticist and physician Francis Collins explains why systematic drug discovery is imperative, even for rare and complex diseases, and offers a few solutions — like teaching old drugs new tricks.","A key player in the US' new brain-mapping project, Francis Collins is director of the National Institutes of Health. ","https://ted.com/talks/francis_collins_we_need_better_drugs_now","not available","https://ted.com/speakers/francis_collins","Mar 2013","Informative, Fascinating"
"Hyeonseo Lee","Activist","My escape from North Korea","As a child growing up in North Korea, Hyeonseo Lee thought her country was “the best on the planet.” It wasn't until the famine of the 90s that she began to wonder. She escaped the country at 14, to begin a life in hiding, as a refugee in China. Hers is a harrowing, personal tale of survival and hope — and a powerful reminder of those who face constant danger, even when the border is far behind.","As a child growing up in North Korea, Hyeonseo Lee thoght her country was the ""best on the planet."" It wasn't until the famine of the 90s that she began to wonder. She escaped the country at 17-years-old to begin a life in hiding as a refugee in China. Hers is a harrowing, personal tale of survival and hope — and a powerful reminder of those who face constant danger, even when the border is far behind.","https://ted.com/talks/hyeonseo_lee_my_escape_from_north_korea","not available","https://ted.com/speakers/hyeonseo_lee","Mar 2013","Courageous, Inspiring"
"Elon Musk","Serial entrepreneur","The mind behind Tesla, SpaceX, SolarCity ...","Entrepreneur Elon Musk is a man with many plans. The founder of PayPal, Tesla Motors and SpaceX sits down with TED curator Chris Anderson to share details about his visionary projects, which include a mass-marketed electric car, a solar energy leasing company and a fully reusable rocket.","Elon Musk is the CEO and product architect of Tesla Motors and the CEO/CTO of Space Exploration Technologies (SpaceX). ","https://ted.com/talks/elon_musk_the_mind_behind_tesla_spacex_solarcity","not available","https://ted.com/speakers/elon_musk","Mar 2013","Inspiring, Fascinating"
"Danny Hillis","Computer theorist","The Internet could crash. We need a Plan B","The Internet connects billions of people and machines; it's the backbone of modern life. But tech pioneer Danny Hillis thinks the Internet just wasn't designed to grow this big — and he fears that one big cyber-attack or glitch could shut it down and take civilization with it. To head off a digital dark age, he sounds a clarion call to develop a Plan B: a parallel system to fall back on if — or when — the Internet crashes.","Inventor, scientist, author, engineer — over his broad career, Danny Hillis has turned his ever-searching brain on an array of subjects, with surprising results.","https://ted.com/talks/danny_hillis_the_internet_could_crash_we_need_a_plan_b","not available","https://ted.com/speakers/danny_hillis","Mar 2013","Informative, Persuasive"
"Catarina Mota","Maker","Play with smart materials","Ink that conducts electricity; a window that turns from clear to opaque at the flip of a switch; a jelly that makes music. All this stuff exists, and Catarina Mota says: It's time to play with it. Mota leads us on a tour of surprising and cool new materials, and suggests that the way we'll figure out what they're good for is to experiment, tinker and have fun.","A TEDGlobal Fellow, Catarina Mota plays with ""smart materials"" — like shape-memory alloys and piezoelectric structures that react to voltage — and encourages others to do so too.","https://ted.com/talks/catarina_mota_play_with_smart_materials","https://twitter.com/#!/catlx","https://ted.com/speakers/catarina_mota","Mar 2013","Inspiring, Informative"
"Bono","Musician, activist","The good news on poverty (Yes, there's good news)","Human beings have been campaigning against inequality and poverty for 3,000 years. But this journey is accelerating. Bono ""embraces his inner nerd"" and shares inspiring data that shows the end of poverty is in sight … if we can harness the momentum.","Bono, the lead singer of U2, uses his celebrity to fight for social justice worldwide: to end hunger, poverty and disease, especially in Africa. His nonprofit ONE raises awareness via media, policy and calls to action.","https://ted.com/talks/bono_the_good_news_on_poverty_yes_there_s_good_news","not available","https://ted.com/speakers/bono","Mar 2013","Inspiring, Informative"
"Stewart Brand","Environmentalist, futurist","The dawn of de-extinction. Are you ready?","Throughout humankind's history, we've driven species after species extinct: the passenger pigeon, the Eastern cougar, the dodo ... But now, says Stewart Brand, we have the technology (and the biology) to bring back species that humanity wiped out. So — should we? Which ones? He asks a big question whose answer is closer than you may think.","Since the counterculture '60s, Stewart Brand has been creating our internet-worked world. Now, with biotech accelerating four times faster than digital technology, Stewart Brand has a bold new plan ...","https://ted.com/talks/stewart_brand_the_dawn_of_de_extinction_are_you_ready","not available","https://ted.com/speakers/stewart_brand","Mar 2013","Fascinating, Informative"
"David Anderson","Neurobiologist","Your brain is more than a bag of chemicals","Modern psychiatric drugs treat the chemistry of the whole brain, but neurobiologist David Anderson has a more nuanced view of how the brain functions. He shares new research that could lead to targeted psychiatric medications — that work better and avoid side effects. How's he doing it? For a start, by making a bunch of fruit flies angry.","Through his lab at the California Institute of Technology, David Anderson seeks to find the neural underpinnings of emotions like fear, anxiety and anger.","https://ted.com/talks/david_anderson_your_brain_is_more_than_a_bag_of_chemicals","not available","https://ted.com/speakers/david_anderson","Mar 2013","Informative, Fascinating"
"Dan Pallotta","Author, speaker, reformer","The way we think about charity is dead wrong","Activist and fundraiser Dan Pallotta calls out the double standard that drives our broken relationship to charities. Too many nonprofits, he says, are rewarded for how little they spend — not for what they get done. Instead of equating frugality with morality, he asks us to start rewarding charities for their big goals and big accomplishments (even if that comes with big expenses). In this bold talk, he says: Let's change the way we think about changing the world.","We dream boldly in the dimension of our doing, but set the bar no higher than stability in our emotional lives. It’s time to dream in multiple dimensions at the same time, says AIDSRide Founder Dan Pallotta. He aims to transform the way society thinks about giving, and being.","https://ted.com/talks/dan_pallotta_the_way_we_think_about_charity_is_dead_wrong","http://twitter.com/danpallotta","https://ted.com/speakers/dan_pallotta","Mar 2013","Persuasive, Inspiring"
"Shane Koyczan","Poet","To This Day ... for the bullied and beautiful","By turn hilarious and haunting, poet Shane Koyczan puts his finger on the pulse of what it's like to be young and … different. ""To This Day,"" his spoken-word poem about bullying, captivated millions as a viral video (created, crowd-source style, by 80 animators). Here, he gives a glorious, live reprise with backstory and violin accompaniment by Hannah Epperson.","Shane Koyczan makes spoken-word poetry and music. His poem ""To This Day"" is a powerful story of bullying and survival, illustrated by animators from around the world.","https://ted.com/talks/shane_koyczan_to_this_day_for_the_bullied_and_beautiful","https://twitter.com/Koyczan","https://ted.com/speakers/shane_koyczan","Mar 2013","Inspiring, Beautiful"
"Kakenya Ntaiya","Educator and activist","A girl who demanded school","Kakenya Ntaiya made a deal with her father: She would undergo a traditional Maasai rite of passage, female circumcision, if he would let her go to high school. Ntaiya tells the fearless story of continuing on to college, and of working with her village elders to build a school for girls in her community, changing the destiny of 125 young women.","Kakenya Ntaiya refused to accept the continued oppression of women in her Maasai village — so she built a school that's shifting gender expectations in her community.","https://ted.com/talks/kakenya_ntaiya_a_girl_who_demanded_school","https://twitter.com/kenyagirlschool","https://ted.com/speakers/kakenya_ntaiya","Mar 2013","Inspiring, Courageous"
"Ron Finley","Gardener","A guerilla gardener in South Central LA","Ron Finley plants vegetable gardens in South Central LA — in abandoned lots, traffic medians, along the curbs. Why? For fun, for defiance, for beauty and to offer some alternative to fast food in a community where ""the drive-thrus are killing more people than the drive-bys.""","Ron Finley grows a nourishing food culture in South Central L.A.’s food desert by planting the seeds and tools for healthy eating.","https://ted.com/talks/ron_finley_a_guerilla_gardener_in_south_central_la","https://twitter.com/RonFinleyHQ","https://ted.com/speakers/ron_finley","Mar 2013","Inspiring, Persuasive"
"Edith Widder","Marine biologist","How we found the giant squid","Humankind has been looking for the giant squid (Architeuthis) since we first started taking pictures underwater. But the elusive deep-sea predator could never be caught on film. Oceanographer and inventor Edith Widder shares the key insight — and the teamwork — that helped to capture the squid on film for the first time.","Edith Widder combines her expertise in research and technological innovation with a commitment to stopping and reversing the degradation of our marine environment. ","https://ted.com/talks/edith_widder_how_we_found_the_giant_squid","http://twitter.com/#!/teamorca","https://ted.com/speakers/edith_widder","Mar 2013","Fascinating, Informative"
"Allan Savory","Grassland ecosystem pioneer","How to fight desertification and reverse climate change","“Desertification is a fancy word for land that is turning to desert,” begins Allan Savory in this quietly powerful talk. And it's happening to about two-thirds of the world’s grasslands, accelerating climate change and causing traditional grazing societies to descend into social chaos. Savory has devoted his life to stopping it. He now believes — and his work so far shows — that a surprising factor can protect grasslands and even reclaim degraded land that was once desert.","Allan Savory works to promote holistic management in the grasslands of the world.","https://ted.com/talks/allan_savory_how_to_green_the_world_s_deserts_and_reverse_climate_change","not available","https://ted.com/speakers/allan_savory","Mar 2013","Inspiring, Persuasive"
"Amanda Palmer","Musician, blogger","The art of asking","Don't make people pay for music, says Amanda Palmer: Let them. In a passionate talk that begins in her days as a street performer (drop a dollar in the hat for the Eight-Foot Bride!), she examines the new relationship between artist and fan.","Alt-rock icon Amanda Fucking Palmer believes we shouldn't fight the fact that digital content is freely shareable — and suggests that artists can and should be directly supported by fans.","https://ted.com/talks/amanda_palmer_the_art_of_asking","http://twitter.com/amandapalmer","https://ted.com/speakers/amanda_palmer","Mar 2013","Inspiring, Courageous"
"Jennifer Granholm","Former governor of Michigan","A clean energy proposal — race to the top!","Kicking off the TED2013 conference, Jennifer Granholm asks a very American question with worldwide implications: How do we make more jobs? Her big idea: Invest in new alternative energy sources. And her big challenge: Can it be done with or without our broken Congress?","A former two-term governor of Michigan, Jennifer M. Granholm makes the case for empowering states to create jobs through a Clean Energy Jobs Race to the Top.
","https://ted.com/talks/jennifer_granholm_a_clean_energy_proposal_race_to_the_top","http://twitter.com/JenGranholm","https://ted.com/speakers/jennifer_granholm","Feb 2013","Persuasive, Inspiring"
"Sugata Mitra","Education researcher","Build a School in the Cloud","Onstage at TED2013, Sugata Mitra makes his bold TED Prize wish: Help me design the School in the Cloud, a learning lab in India, where children can explore and learn from each other — using resources and mentoring from the cloud. Hear his inspiring vision for Self Organized Learning Environments, and learn more at ted.com/prize.","Educational researcher Sugata Mitra is the winner of the 2013 TED Prize. His wish: Build a School in the Cloud, where children can explore and learn from one another.","https://ted.com/talks/sugata_mitra_build_a_school_in_the_cloud","https://twitter.com/Sugatam","https://ted.com/speakers/sugata_mitra","Feb 2013","Inspiring, Fascinating"
"Bruno Maisonnier","Roboticist","Dance, tiny robots!","There's a place in France where the robots do a dance. And that place is TEDxConcorde, where Bruno Maisonnier of Aldebaran Robotics choreographs a troupe of tiny humanoid Nao robots through a surprisingly emotive performance.","Bruno Maisonnier founded Aldebaran Robotics, maker of the tiny, compelling humanoid Nao.","https://ted.com/talks/bruno_maisonnier_dance_tiny_robots","not available","https://ted.com/speakers/bruno_maisonnier","Feb 2013","Fascinating, Beautiful"
"Bruce Feiler","Writer","Agile programming — for your family","Bruce Feiler has a radical idea: To deal with the stress of modern family life, go agile. Inspired by agile software programming, Feiler introduces family practices which encourage flexibility, bottom-up idea flow, constant feedback and accountability. One surprising feature: Kids pick their own punishments.","Bruce Feiler is the author of ""The Secrets of Happy Families,"" and the writer/presenter of the PBS miniseries ""Walking the Bible.""","https://ted.com/talks/bruce_feiler_agile_programming_for_your_family","not available","https://ted.com/speakers/bruce_feiler","Feb 2013","Inspiring, Informative"
"Michael Dickinson","Biologist","How a fly flies","An insect's ability to fly is one of the greatest feats of evolution. Michael Dickinson looks at how a fruit fly takes flight with such delicate wings, thanks to a clever flapping motion and flight muscles that are both powerful and nimble. But the secret ingredient: the incredible fly brain.","Most people are irritated by the buzzing of a fly's wings. But biologist Michael Dickinson views the sound with a deep sense of wonder.","https://ted.com/talks/michael_dickinson_how_a_fly_flies","not available","https://ted.com/speakers/michael_dickinson","Feb 2013","Fascinating, Informative"
"Andreas Schleicher","Education surveyor","Use data to build better schools","How can we measure what makes a school system work? Andreas Schleicher walks us through the PISA test, a global measurement that ranks countries against one another — then uses that same data to help schools improve. Watch to find out where your country stacks up, and learn the single factor that makes some systems outperform others.","What makes a great school system? To find out, Andreas Schleicher administers a test to compare student performance around the world.","https://ted.com/talks/andreas_schleicher_use_data_to_build_better_schools","http://twitter.com/#!/SchleicherEDU","https://ted.com/speakers/andreas_schleicker","Feb 2013","Informative, Persuasive"
"Afra Raymond","Transparency activist","Three myths about corruption","Trinidad and Tobago amassed great wealth in the 1970s thanks to oil — but 2 out of every 3 dollars earmarked for development ended up wasted or stolen. This fact has haunted Afra Raymond for 30 years. Shining a flashlight on a continued history of government corruption, Raymond gives us a reframing of financial crime.","A leading expert in the fields of property valuation and project management, Afra Raymond is battling the government corruption rampant in his country, Trinidad and Tobago.","https://ted.com/talks/afra_raymond_three_myths_about_corruption","https://twitter.com/afra_raymond","https://ted.com/speakers/afra_raymond","Feb 2013","Courageous, Informative"
"Keith Chen","Behavioral economist","Could your language affect your ability to save money?","What can economists learn from linguists? Behavioral economist Keith Chen introduces a fascinating pattern from his research: that languages without a concept for the future — ""It rain tomorrow,"" instead of ""It will rain tomorrow"" — correlate strongly with high savings rates.","Keith Chen's research suggests that the language you speak may impact the way you think about your future.","https://ted.com/talks/keith_chen_could_your_language_affect_your_ability_to_save_money","not available","https://ted.com/speakers/keith_chen","Feb 2013","Informative, Fascinating"
"Miguel Nicolelis","Neuroscientist","A monkey that controls a robot with its thoughts. No, really.","Can we use our brains to directly control machines? Miguel Nicolelis suggests yes, showing how a clever monkey in the US learned to control a robot arm in Japan purely with its thoughts. The research has big implications for quadraplegic people — and in fact, it powered the exoskeleton that kicked off the 2014 World Cup.","Miguel Nicolelis explores the limits of the brain-machine interface.","https://ted.com/talks/miguel_nicolelis_a_monkey_that_controls_a_robot_with_its_thoughts_no_really","https://twitter.com/MiguelNicolelis","https://ted.com/speakers/miguel_nicolelis","Feb 2013","Fascinating, Ingenious"
"Young-ha Kim","Writer","Be an artist, right now!","Why do we ever stop playing and creating? With charm and humor, celebrated Korean author Young-ha Kim invokes the world's greatest artists to urge you to unleash your inner child — the artist who wanted to play forever.","One of the premiere writers of his generation, Korean novelist Young-ha Kim weaves tales that speak to the thrills and challenges of young Koreans in our increasingly globalized and ever-changing world. ","https://ted.com/talks/young_ha_kim_be_an_artist_right_now","not available","https://ted.com/speakers/young_ha_kim","Feb 2013","Inspiring, Persuasive"
"Esther Perel","Relationship therapist","The secret to desire in a long-term relationship","In long-term relationships, we often expect our beloved to be both best friend and erotic partner. But as Esther Perel argues, good and committed sex draws on two conflicting needs: our need for security and our need for surprise. So how do you sustain desire? With wit and eloquence, Perel lets us in on the mystery of erotic intelligence.","Psychotherapist Esther Perel is changing the conversation on what it means to be in love and have a fulfilling sex life.","https://ted.com/talks/esther_perel_the_secret_to_desire_in_a_long_term_relationship","https://twitter.com/EstherPerel","https://ted.com/speakers/esther_perel","Feb 2013","Informative, Fascinating"
"James B. Glattfelder","Complex systems theorist","Who controls the world?","James Glattfelder studies complexity: how an interconnected system — say, a swarm of birds — is more than the sum of its parts. And complexity theory, it turns out, can reveal a lot about how the world economy works. Glattfelder shares a groundbreaking study of how control flows through the global economy, and how concentration of power in the hands of a shockingly small number leaves us all vulnerable.","James B. Glattfelder aims to give us a richer, data-driven understanding of the people and interactions that control our global economy. He does this not to push an ideology — but with the hopes of making the world a better place.","https://ted.com/talks/james_b_glattfelder_who_controls_the_world","https://twitter.com/jnode","https://ted.com/speakers/james_b_glattfelder","Feb 2013","Informative, Fascinating"
"Erik Schlangen","Experimental micromechanics pioneer","A ""self-healing"" asphalt","Paved roads are nice to look at, but they're easily damaged and costly to repair. Erik Schlangen demos a new type of porous asphalt made of simple materials with an astonishing feature: When cracked, it can be ""healed"" by induction heating.","Erik Schlangen is a civil engineer and pioneer of experimental micromechanics, who focuses on making industrial materials more durable.","https://ted.com/talks/erik_schlangen_a_self_healing_asphalt","not available","https://ted.com/speakers/erik_schlangen","Feb 2013","Ingenious, Informative"
"Shabana Basij-Rasikh","Educator","Dare to educate Afghan girls","Imagine a country where girls must sneak out to go to school, with deadly consequences if they get caught learning. This was Afghanistan under the Taliban, and traces of that danger remain today. 22-year-old Shabana Basij-Rasikh runs a school for girls in Afghanistan. She celebrates the power of a family's decision to believe in their daughters — and tells the story of one brave father who stood up to local threats.","Shabana Basij-Rasikh helps girls and young women in Afghanistan get an education.","https://ted.com/talks/shabana_basij_rasikh_dare_to_educate_afghan_girls","not available","https://ted.com/speakers/shabana_basij_rasikh","Feb 2013","Inspiring, Courageous"
"Edi Rama","Politician","Take back your city with paint","Make a city beautiful, curb corruption. Edi Rama took this deceptively simple path as mayor of Tirana, Albania, where he instilled pride in his citizens by transforming public spaces with colorful designs.","From 2000 to 2011 Edi Rama was the mayor of Tirana, where he implemented a series of reforms to take back the city for the people.","https://ted.com/talks/edi_rama_take_back_your_city_with_paint","not available","https://ted.com/speakers/edi_rama","Feb 2013","Inspiring, Courageous"
"Lee Cronin","Chemist","Print your own medicine","Chemist Lee Cronin is working on a 3D printer that, instead of objects, is able to print molecules. An exciting potential long-term application: printing your own medicine using chemical inks.","A professor of chemistry, nanoscience and chemical complexity, Lee Cronin and his research group investigate how chemistry can revolutionize modern technology and even create life.","https://ted.com/talks/lee_cronin_print_your_own_medicine","https://twitter.com/leecronin","https://ted.com/speakers/lee_cronin","Feb 2013","Fascinating, Ingenious"
"Cesar Kuriyama","Video maker","One second every day","There are so many tiny, beautiful, funny, tragic moments in your life — how are you going to remember them all? Director Cesar Kuriyama shoots one second of video every day as part of an ongoing project to collect all the special bits of his life.","Cesar Kuriyama shoots one second of video every day of his life, and edits them together into a montage that prompts him to think how he approaches each day.","https://ted.com/talks/cesar_kuriyama_one_second_every_day","https://twitter.com/CesarKuriyama","https://ted.com/speakers/cesar_kuriyama","Feb 2013","Inspiring, Beautiful"
"Tyler DeWitt","Science enthusiast","Hey science teachers — make it fun","High school science teacher Tyler DeWitt was ecstatic about his new lesson plan on bacteria (how cool!) — and devastated when his students hated it. The problem was the textbook: it was impossible to understand. He delivers a rousing call for science teachers to ditch the jargon and extreme precision, and instead make science sing through stories and demonstrations.","Tyler DeWitt recognizes that textbooks are not the way to get young people interested in science. Instead, he teaches science by making it fun and fantastical.","https://ted.com/talks/tyler_dewitt_hey_science_teachers_make_it_fun","not available","https://ted.com/speakers/tyler_dewitt","Feb 2013","Inspiring, Persuasive"
"Zahra' Langhi","Activist","Why Libya's revolution didn't work — and what might","In Libya, Zahra' Langhi was part of the ""days of rage"" movement that helped topple the dictator Gaddafi. But — then what? In their first elections, Libyans tried an innovative slate of candidates, the ""zipper ballot,"" that ensured equal representation from men and women of both sides. Yet the same gridlocked politics of dominance and exclusion won out. What Libya needs now, Langhi suggests, is collaboration, not competition; compassion, not rage.","Zahra' Langhi is the cofounder of Libyan Women’s Platform for Peace (LWPP), a movement advocating for women’s socio-political empowerment and peace-building.","https://ted.com/talks/zahra_langhi_why_libya_s_revolution_didn_t_work_and_what_might","not available","https://ted.com/speakers/zahra_langhi","Feb 2013","Courageous, Inspiring"
"Kid President","not available","I think we all need a pep talk","Kid President commands you to wake up, listen to the beating of your heart and create something that will make the world awesome. This video from SoulPancake delivers a soul-stirring dose of inspiration that only a 9-year-old can give.","not available","https://ted.com/talks/kid_president_i_think_we_all_need_a_pep_talk","not available","https://ted.com","Feb 2013","Inspiring, Funny"
"Fahad Al-Attiya","Food security expert","A country with no water","Imagine a country with abundant power — oil and gas, sunshine, wind (and money) — but missing one key essential for life: water. Infrastructure engineer Fahad Al-Attiya talks about the unexpected ways that the small Middle Eastern nation of Qatar creates its water supply.","Fahad Al-Attiya's job is to maintain food security in Qatar, a country that has no water and imports 90 percent of its food.","https://ted.com/talks/fahad_al_attiya_a_country_with_no_water","not available","https://ted.com/speakers/fahad_al_attiya","Jan 2013","Informative, Inspiring"
"iO Tillett Wright","Photographer","Fifty shades of gay","iO Tillett Wright has photographed 2,000 people who consider themselves somewhere on the LGBTQ spectrum — and asked many of them: Can you assign a percentage to how gay or straight you are? Most people, it turns out, consider themselves to exist in the gray areas of sexuality, not 100% gay or straight. Which presents a real problem when it comes to discrimination: Where do you draw the line?","As a child actor, iO Tillett Wright turned his shoes around in the bathroom stall so that people would think he was a boy. As a teenager, he fell in love with both women and men. His life in the gray areas of gender and sexuality deeply inform his work as an artist. ","https://ted.com/talks/io_tillett_wright_fifty_shades_of_gay","https://twitter.com/iolovesyou","https://ted.com/speakers/io_tillett_wright","Jan 2013","Inspiring, Courageous"
"Mitch Resnick","Computer scientist","Let's teach kids to code","Coding isn't just for computer whizzes, says Mitch Resnick of MIT Media Lab — it's for everyone. In a fun, demo-filled talk Resnick outlines the benefits of teaching kids to code, so they can do more than just use new tech toys but also create them.","Mitch Resnick directs the Lifelong Kindergarten group at MIT Media Lab, dedicated to helping kids of all ages tinker and experiment with design.","https://ted.com/talks/mitch_resnick_let_s_teach_kids_to_code","not available","https://ted.com/speakers/mitch_resnick","Jan 2013","Inspiring, Informative"
"Wingham Rowan","Policy entrepreneur","A new kind of job market","Plenty of people need jobs with very flexible hours — but it's difficult for those people to connect with the employers who need them. Wingham Rowan is working on that. He explains how the same technology that powers modern financial markets can help employers book workers for slivers of time.","Wingham Rowan's work bridges the gap between flexible work schedules and modern financial markets. ","https://ted.com/talks/wingham_rowan_a_new_kind_of_job_market","not available","https://ted.com/speakers/wingham_rowan","Jan 2013","Informative, Ingenious"
"Leslie Morgan Steiner","Writer","Why domestic violence victims don't leave","Leslie Morgan Steiner was in ""crazy love"" — that is, madly in love with a man who routinely abused her and threatened her life. Steiner tells the story of her relationship, correcting misconceptions many people hold about victims of domestic violence, and explaining how we can all help break the silence.","Leslie Morgan Steiner is a writer and outspoken advocate for survivors of domestic violence — which includes herself.","https://ted.com/talks/leslie_morgan_steiner_why_domestic_violence_victims_don_t_leave","not available","https://ted.com/speakers/leslie_morgan_steiner","Jan 2013","Courageous, Inspiring"
"Steven Schwaitzberg","Surgeon and technologist","A universal translator for surgeons","Laparoscopic surgery uses minimally invasive incisions — which means less pain and shorter recovery times for patients. But Steven Schwaitzberg has run into two problems teaching these techniques to surgeons around the world: language and distance. He shares how a new technology, which combines videoconferencing and a real-time universal translator, could help.","Dr. Steven Schwaitzberg is on a mission to teach surgeons around the world to perform minimally invasive surgery. But first, he's had to find the right technology to allow communication across the language barrier.  ","https://ted.com/talks/steven_schwaitzberg_a_universal_translator_for_surgeons","not available","https://ted.com/speakers/steven_schwaitzberg","Jan 2013","Informative, Ingenious"
"Colin Powell","Former U.S. Secretary of State","Kids need structure","How can you help kids get a good start? In this heartfelt and personal talk, Colin Powell, the former U.S. Secretary of State, asks parents, friends and relatives to support children, starting before they even get to primary school, through community and a strong sense of responsibility.","General Colin Powell was the first African-American to serve as U.S. Secretary of State.","https://ted.com/talks/colin_powell_kids_need_structure","not available","https://ted.com/speakers/colin_powell","Jan 2013","Inspiring, Persuasive"
"Janine di Giovanni","Reporter","What I saw in the war","Reporter Janine di Giovanni has been to the worst places on Earth to bring back stories from Bosnia, Sierra Leone and most recently Syria. She tells stories of human moments within large conflicts — and explores that shocking transition when a familiar city street becomes a bombed-out battleground.","Janine di Giovanni reports from war zones around the world.","https://ted.com/talks/janine_di_giovanni_what_i_saw_in_the_war","not available","https://ted.com/speakers/janine_di_giovanni","Jan 2013","Courageous, Inspiring"
"Colin Stokes","Proud dad","How movies teach manhood","When Colin Stokes' 3-year-old son caught a glimpse of ""Star Wars,"" he was instantly obsessed. But what messages did he absorb from the sci-fi classic? Stokes asks for more movies that send positive messages to boys: that cooperation is heroic, and respecting women is as manly as defeating the villain.","The director of communications for the non-profit Citizen Schools, Colin Stokes thinks deeply about the media he shares with his two young children. ","https://ted.com/talks/colin_stokes_how_movies_teach_manhood","https://twitter.com/stokescolin","https://ted.com/speakers/colin_stokes","Jan 2013","Inspiring, Persuasive"
"Richard Weller","Dermatologist","Could the sun be good for your heart?","Our bodies get Vitamin D from the sun, but as dermatologist Richard Weller suggests, sunlight may confer another surprising benefit too. New research by his team shows that nitric oxide, a chemical transmitter stored in huge reserves in the skin, can be released by UV light, to great benefit for blood pressure and the cardiovascular system. What does it mean? Well, it might begin to explain why Scots get sick more than Australians ...","Dermatologist Richard Weller wants to know: Why are Scots so sick?","https://ted.com/talks/richard_weller_could_the_sun_be_good_for_your_heart","not available","https://ted.com/speakers/richard_weller","Jan 2013","Informative, Fascinating"
"Cameron Russell","Model","Looks aren't everything. Believe me, I'm a model.","Cameron Russell admits she won “a genetic lottery”: she's tall, pretty and an underwear model. But don't judge her by her looks. In this fearless talk, she takes a wry look at the industry that had her looking highly seductive at barely 16 years old.","Cameron Russell has stomped the runways for Victoria's Secret and Chanel, and has appeared in many magazines. But she is much more than just a pretty face.","https://ted.com/talks/cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model","https://twitter.com/CameronCRussell","https://ted.com/speakers/cameron_russell","Jan 2013","Courageous, Inspiring"
"Ellen Jorgensen","Biologist, community science advocate","Biohacking — you can do it, too","We have personal computing — why not personal biotech? That's the question biologist Ellen Jorgensen and her colleagues asked themselves before opening Genspace, a nonprofit DIY bio lab in Brooklyn devoted to citizen science, where amateurs can go and tinker with biotechnology. Far from being a sinister Frankenstein's lab (as some imagined it), Genspace offers a long list of fun, creative and practical uses for DIY bio.","Ellen Jorgensen is at the leading edge of the do-it-yourself biotechnology movement, bringing scientific exploration and understanding to the public.","https://ted.com/talks/ellen_jorgensen_biohacking_you_can_do_it_too","https://twitter.com/feyscientist","https://ted.com/speakers/ellen_jorgensen","Jan 2013","Inspiring, Informative"
